Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,Latitude,Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
495,01-10-15 8:17,01-10-15 8:25,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24662,Subscriber,1976,1,8
786,01-10-15 8:17,01-10-15 8:30,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24647,Subscriber,1989,1,13
636,01-10-15 8:18,01-10-15 8:29,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24602,Customer,1984,0,11
684,01-10-15 8:18,01-10-15 8:30,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24508,Subscriber,1980,1,11
753,01-10-15 8:19,01-10-15 8:31,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24593,Subscriber,1977,2,13
346,01-10-15 8:19,01-10-15 8:25,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24715,Subscriber,1962,1,6
223,01-10-15 8:19,01-10-15 8:23,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24420,Subscriber,1981,1,4
783,01-10-15 8:20,01-10-15 8:33,3210,Pershing Field,40.74267714,-74.05178863,3202,Newport PATH,40.7272235,-74.0337589,24531,Subscriber,1983,1,13
256,01-10-15 8:22,01-10-15 8:26,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24430,Customer,1984,0,4
569,01-10-15 8:22,01-10-15 8:32,3209,Brunswick St,40.7241765,-74.0506564,3199,Newport Pkwy,40.7287448,-74.0321082,24581,Subscriber,1989,1,9
896,01-10-15 8:23,01-10-15 8:38,3210,Pershing Field,40.74267714,-74.05178863,3183,Exchange Place,40.7162469,-74.0334588,24629,Subscriber,1976,1,15
207,01-10-15 8:23,01-10-15 8:27,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24702,Subscriber,1985,1,3
666,01-10-15 8:24,01-10-15 8:35,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,24572,Subscriber,1982,1,11
871,01-10-15 8:25,01-10-15 8:39,3220,5 Corners Library,40.73496102,-74.05950308,3185,City Hall,40.7177325,-74.043845,24409,Subscriber,1978,2,15
229,01-10-15 8:26,01-10-15 8:30,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24670,Subscriber,1981,2,4
306,01-10-15 8:27,01-10-15 8:32,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24640,Subscriber,1984,1,5
649,01-10-15 8:27,01-10-15 8:38,3196,Riverview Park,40.7443187,-74.0439909,3211,Newark Ave,40.72152515,-74.04630454,24665,Subscriber,1975,1,11
603,01-10-15 8:29,01-10-15 8:39,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24548,Subscriber,1985,1,10
464,01-10-15 8:29,01-10-15 8:37,3213,Van Vorst Park,40.71848892,-74.04772663,3184,Paulus Hook,40.7141454,-74.0335519,24391,Customer,1984,0,8
3813,01-10-15 8:29,01-10-15 9:33,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24455,Subscriber,1985,2,64
391,01-10-15 8:30,01-10-15 8:36,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24700,Subscriber,1968,1,7
1077,01-10-15 8:30,01-10-15 8:48,3207,Oakland Ave,40.7376037,-74.0524783,3183,Exchange Place,40.7162469,-74.0334588,24489,Subscriber,1981,1,18
367,01-10-15 8:30,01-10-15 8:36,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24415,Subscriber,1957,2,6
369,01-10-15 8:30,01-10-15 8:36,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24618,Subscriber,1977,2,6
472,01-10-15 8:31,01-10-15 8:39,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24470,Subscriber,1990,2,8
422,01-10-15 8:31,01-10-15 8:39,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24574,Subscriber,1981,1,7
1049,01-10-15 8:33,01-10-15 8:50,3207,Oakland Ave,40.7376037,-74.0524783,3183,Exchange Place,40.7162469,-74.0334588,24651,Subscriber,1989,1,17
343,01-10-15 8:33,01-10-15 8:38,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24658,Subscriber,1983,1,6
221,01-10-15 8:34,01-10-15 8:38,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,17653,Subscriber,1989,2,4
207,01-10-15 8:34,01-10-15 8:38,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24513,Subscriber,1962,1,3
355,01-10-15 8:35,01-10-15 8:41,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24671,Subscriber,1954,1,6
1869,01-10-15 8:35,01-10-15 9:07,3215,Central Ave,40.7467299,-74.0492509,3202,Newport PATH,40.7272235,-74.0337589,24644,Subscriber,1982,1,31
448,01-10-15 8:36,01-10-15 8:43,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24517,Subscriber,1968,1,7
1246,01-10-15 8:38,01-10-15 8:58,3196,Riverview Park,40.7443187,-74.0439909,3184,Paulus Hook,40.7141454,-74.0335519,24608,Subscriber,1984,1,21
163,01-10-15 8:38,01-10-15 8:40,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24649,Subscriber,1983,1,3
1282,01-10-15 8:38,01-10-15 8:59,3193,Lincoln Park,40.7246051,-74.07840595,3202,Newport PATH,40.7272235,-74.0337589,24435,Subscriber,1985,1,21
624,01-10-15 8:39,01-10-15 8:49,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24581,Subscriber,1972,2,10
